duration_ms,explicit,external_urls,name,track_number,uri,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
285280,False,{'spotify': 'https://open.spotify.com/track/19JrUNf5amGgM9Ui9kdkss'},The Moment I Knew (Taylor's Version),17,spotify:track:19JrUNf5amGgM9Ui9kdkss,Red (Taylor's Version),0.636,0.402,7,-7.855,1,0.031,0.0494,0.0,0.107,0.208,125.952,https://api.spotify.com/v1/audio-analysis/19JrUNf5amGgM9Ui9kdkss
223333,False,{'spotify': 'https://open.spotify.com/track/5XaLWURooWKZiraOWSTWjm'},Come Back...Be Here (Taylor's Version),18,spotify:track:5XaLWURooWKZiraOWSTWjm,Red (Taylor's Version),0.46,0.632,4,-6.031,1,0.0302,0.0158,0.0,0.0822,0.399,79.846,https://api.spotify.com/v1/audio-analysis/5XaLWURooWKZiraOWSTWjm
220520,False,{'spotify': 'https://open.spotify.com/track/6lJPTJCHgLQ4kr69SftElR'},Girl At Home (Taylor's Version),19,spotify:track:6lJPTJCHgLQ4kr69SftElR,Red (Taylor's Version),0.691,0.736,5,-6.974,1,0.0326,0.00955,1.88e-05,0.101,0.612,125.089,https://api.spotify.com/v1/audio-analysis/6lJPTJCHgLQ4kr69SftElR
321640,False,{'spotify': 'https://open.spotify.com/track/3CiOGu8nBPGfrJr4whAOZX'},State Of Grace (Acoustic Version) (Taylor's Version),20,spotify:track:3CiOGu8nBPGfrJr4whAOZX,Red (Taylor's Version),0.445,0.131,7,-13.778,1,0.0564,0.663,1.57e-06,0.108,0.101,208.918,https://api.spotify.com/v1/audio-analysis/3CiOGu8nBPGfrJr4whAOZX
264253,False,{'spotify': 'https://open.spotify.com/track/0WE0h1qUWJBt97DtvuMWRN'},Ronan (Taylor's Version),21,spotify:track:0WE0h1qUWJBt97DtvuMWRN,Red (Taylor's Version),0.623,0.279,0,-10.802,1,0.031,0.661,0.0,0.193,0.38,116.04,https://api.spotify.com/v1/audio-analysis/0WE0h1qUWJBt97DtvuMWRN
297013,False,{'spotify': 'https://open.spotify.com/track/1gWRnZ52AK1ZUvpjjTteKf'},Better Man (Taylor's Version) (From The Vault),22,spotify:track:1gWRnZ52AK1ZUvpjjTteKf,Red (Taylor's Version),0.473,0.579,4,-5.824,1,0.0384,0.214,0.0,0.0877,0.255,73.942,https://api.spotify.com/v1/audio-analysis/1gWRnZ52AK1ZUvpjjTteKf
258812,False,{'spotify': 'https://open.spotify.com/track/44V5YKYkMw9vVqnnYTMMIc'},Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),23,spotify:track:44V5YKYkMw9vVqnnYTMMIc,Red (Taylor's Version),0.606,0.377,0,-9.455,1,0.0275,0.817,0.0,0.154,0.446,101.96,https://api.spotify.com/v1/audio-analysis/44V5YKYkMw9vVqnnYTMMIc
224240,False,{'spotify': 'https://open.spotify.com/track/1GWuUzSQzL9XSyOy7beCTj'},Babe (Taylor's Version) (From The Vault),24,spotify:track:1GWuUzSQzL9XSyOy7beCTj,Red (Taylor's Version),0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,https://api.spotify.com/v1/audio-analysis/1GWuUzSQzL9XSyOy7beCTj
225960,False,{'spotify': 'https://open.spotify.com/track/6PdCbJwSOeovMX7kfwiAxb'},Message In A Bottle (Taylor's Version) (From The Vault),25,spotify:track:6PdCbJwSOeovMX7kfwiAxb,Red (Taylor's Version),0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72e-06,0.083,0.494,115.915,https://api.spotify.com/v1/audio-analysis/6PdCbJwSOeovMX7kfwiAxb
285106,False,{'spotify': 'https://open.spotify.com/track/5OGALUjGm5kCEpejHs6vtA'},I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),26,spotify:track:5OGALUjGm5kCEpejHs6vtA,Red (Taylor's Version),0.403,0.714,0,-4.514,1,0.0488,0.16,0.0,0.179,0.482,149.67,https://api.spotify.com/v1/audio-analysis/5OGALUjGm5kCEpejHs6vtA
