name,album,duration_min,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),4.75,False,26,0.403,0.714,0,-4.514,1,0.0488,0.16,0.0,0.179,0.482,149.67,https://api.spotify.com/v1/audio-analysis/5OGALUjGm5kCEpejHs6vtA
Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),4.39,False,27,0.611,0.552,7,-5.828,1,0.031,0.256,0.0,0.134,0.41,116.012,https://api.spotify.com/v1/audio-analysis/0EepXu0NfnnUX8efEZR167
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),4.0,False,28,0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039,https://api.spotify.com/v1/audio-analysis/5036yFLEPBGtJLTKKmHJBG
The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),3.34,False,29,0.678,0.733,7,-5.025,1,0.0281,0.00115,0.0,0.104,0.581,121.009,https://api.spotify.com/v1/audio-analysis/7ovNQzugF7Rf6KYMvcfwSG
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),10.22,False,30,0.631,0.522,0,-8.649,1,0.0302,0.279,0.0,0.0875,0.213,93.0,https://api.spotify.com/v1/audio-analysis/04m2nJR2Ia6d1ZOt8gi5xA
Fearless (Taylor’s Version),Fearless (Taylor's Version),4.03,False,1,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118,https://api.spotify.com/v1/audio-analysis/77sMIMlNaSURUAXq5coCxE
Fifteen (Taylor’s Version),Fearless (Taylor's Version),4.91,False,2,0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466,https://api.spotify.com/v1/audio-analysis/2nqio0SfWg6gh2eCtfuMa5
Love Story (Taylor’s Version),Fearless (Taylor's Version),3.93,False,3,0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,https://api.spotify.com/v1/audio-analysis/6YvqWjhGD8mB5QXcbcUKtx
Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),4.24,False,4,0.788,0.571,6,-6.135,1,0.0296,0.106,0.0,0.0934,0.797,115.99,https://api.spotify.com/v1/audio-analysis/550erGcdD9n6PnwxrvYqZT
White Horse (Taylor’s Version),Fearless (Taylor's Version),3.91,False,5,0.423,0.517,0,-7.377,1,0.0486,0.369,0.0,0.177,0.366,185.262,https://api.spotify.com/v1/audio-analysis/5YL553x8sHderRBDlm3NM3
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),3.85,False,6,0.632,0.773,6,-4.856,1,0.0346,0.0623,0.0,0.0885,0.474,130.033,https://api.spotify.com/v1/audio-analysis/1qrpoAMXodY6895hGKoUpA
Breathe (feat. Colbie Caillat) (Taylor’s Version),Fearless (Taylor's Version),4.39,False,7,0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,https://api.spotify.com/v1/audio-analysis/7HC7R2D8WjXVcUHJyEGjRs
Tell Me Why (Taylor’s Version),Fearless (Taylor's Version),3.34,False,8,0.578,0.909,7,-3.669,1,0.0628,0.0222,0.0,0.333,0.541,100.023,https://api.spotify.com/v1/audio-analysis/0k0vFacOHNuArLWMiH60p7
You’re Not Sorry (Taylor’s Version),Fearless (Taylor's Version),4.36,False,9,0.506,0.444,6,-4.99,1,0.0285,0.0538,0.0,0.123,0.241,133.873,https://api.spotify.com/v1/audio-analysis/6iiAfo4wTA2CVC3Uwx9uh8
The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),4.05,False,10,0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,https://api.spotify.com/v1/audio-analysis/22bPsP2jCgbLUvh82U0Z3M
Forever & Always (Taylor’s Version),Fearless (Taylor's Version),3.76,False,11,0.598,0.821,10,-4.433,1,0.0447,0.0231,0.0,0.143,0.673,128.03,https://api.spotify.com/v1/audio-analysis/1msEuwSBneBKpVCZQcFTsU
The Best Day (Taylor’s Version),Fearless (Taylor's Version),4.09,False,12,0.642,0.576,1,-8.524,1,0.0282,0.488,0.0,0.159,0.469,125.0,https://api.spotify.com/v1/audio-analysis/6ON9UuIq49xXY9GPmHIYRp
Change (Taylor’s Version),Fearless (Taylor's Version),4.66,False,13,0.499,0.815,5,-4.063,1,0.0341,0.000191,0.0,0.181,0.344,95.999,https://api.spotify.com/v1/audio-analysis/3ExweHKZF9B752DPQByRVT
Jump Then Fall (Taylor’s Version),Fearless (Taylor's Version),3.96,False,14,0.572,0.69,2,-6.201,1,0.0358,0.0474,0.0,0.0897,0.624,160.111,https://api.spotify.com/v1/audio-analysis/2m3ObD945KvpE5y9A1eUWm
Untouchable (Taylor’s Version),Fearless (Taylor's Version),5.2,False,15,0.393,0.531,5,-6.112,1,0.0329,0.0181,0.0,0.169,0.224,200.391,https://api.spotify.com/v1/audio-analysis/0tQ9vBYpldCuikPsbgOVKA
Forever & Always (Piano Version) (Taylor’s Version),Fearless (Taylor's Version),4.46,False,16,0.546,0.273,9,-9.208,1,0.0308,0.819,0.0,0.137,0.271,118.753,https://api.spotify.com/v1/audio-analysis/01QdEx6kFr78ZejhQtWR5m
Come In With The Rain (Taylor’s Version),Fearless (Taylor's Version),3.96,False,17,0.476,0.564,2,-5.677,1,0.0269,0.0406,0.0,0.102,0.167,143.929,https://api.spotify.com/v1/audio-analysis/1n2wszmJyVkw6FHqyLnQsY
Superstar (Taylor’s Version),Fearless (Taylor's Version),4.4,False,18,0.454,0.555,2,-6.69,1,0.0283,0.157,0.0,0.343,0.171,171.862,https://api.spotify.com/v1/audio-analysis/51A8eKvvZz9uydvIZ7xRSV
The Other Side Of The Door (Taylor’s Version),Fearless (Taylor's Version),3.97,False,19,0.432,0.873,4,-4.367,1,0.0577,0.0279,0.0,0.167,0.629,163.936,https://api.spotify.com/v1/audio-analysis/1cSFlSBdpT4F5vb1frQ231
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),4.03,False,20,0.482,0.779,7,-5.025,1,0.0409,0.0135,0.0,0.296,0.328,158.162,https://api.spotify.com/v1/audio-analysis/2JoJrsEV15OzbijS47lids
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),3.68,False,21,0.599,0.494,2,-7.61,1,0.0372,0.816,0.0,0.101,0.44,142.893,https://api.spotify.com/v1/audio-analysis/4CHpVfAhuxNJ3ibExe6kxO
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4.63,False,22,0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942,https://api.spotify.com/v1/audio-analysis/2CYVETnhM9aytqrazYYwrK
We Were Happy (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),4.07,False,23,0.609,0.373,0,-8.819,1,0.0263,0.849,0.0,0.0779,0.13,106.007,https://api.spotify.com/v1/audio-analysis/34V9RiEPe8MNdU32qJsJa1
