name,album,duration_min,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url
Dancing With Our Hands Tied,reputation,3.53,False,11,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-05,0.138,0.284,160.024,https://api.spotify.com/v1/audio-analysis/7I7JbDv63ZJJsSi24DyJrz
Dress,reputation,3.84,False,12,0.719,0.469,0,-8.792,1,0.0533,0.0329,0.0,0.169,0.0851,120.085,https://api.spotify.com/v1/audio-analysis/6oVxXO5oQ4pTpO8RSnkzvv
This Is Why We Can't Have Nice Things,reputation,3.45,False,13,0.567,0.789,5,-5.986,1,0.115,0.0156,0.0,0.382,0.438,163.96,https://api.spotify.com/v1/audio-analysis/07NxDD1iKCHbAldceD7QLP
Call It What You Want,reputation,3.39,False,14,0.598,0.504,9,-9.874,1,0.0731,0.186,0.000221,0.34,0.252,163.954,https://api.spotify.com/v1/audio-analysis/1GwMQaZz6Au3QLDbjbMdme
New Year’s Day,reputation,3.92,False,15,0.661,0.151,0,-12.864,1,0.0354,0.921,0.0,0.13,0.23,94.922,https://api.spotify.com/v1/audio-analysis/7F5oktn5YOsR9eR5YsFtqb
Welcome To New York,1989 (Deluxe Edition),3.54,False,1,0.789,0.634,7,-4.762,1,0.0323,0.0348,1.64e-06,0.302,0.658,116.992,https://api.spotify.com/v1/audio-analysis/33Kq0AT5rvwyE4azisG08x
Blank Space,1989 (Deluxe Edition),3.86,False,2,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,95.997,https://api.spotify.com/v1/audio-analysis/2sC2P3BN0IXujNaaSyDmtP
Style,1989 (Deluxe Edition),3.85,False,3,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,https://api.spotify.com/v1/audio-analysis/1fo2ctLqj3zBhRQKOXprol
Out Of The Woods,1989 (Deluxe Edition),3.93,False,4,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,https://api.spotify.com/v1/audio-analysis/6Nde5KuTXyB7jlPO4upaBo
All You Had To Do Was Stay,1989 (Deluxe Edition),3.22,False,5,0.605,0.725,5,-5.729,1,0.0323,0.00201,2.02e-05,0.101,0.539,96.97,https://api.spotify.com/v1/audio-analysis/0lmMtDQ2ElasKU2qDAE6NN
Shake It Off,1989 (Deluxe Edition),3.65,False,6,0.647,0.8,7,-5.384,1,0.165,0.0647,0.0,0.334,0.942,160.078,https://api.spotify.com/v1/audio-analysis/3fthfkkvy9av3q3uAGVf7U
I Wish You Would,1989 (Deluxe Edition),3.46,False,7,0.653,0.893,0,-5.966,1,0.0538,0.0158,4.95e-05,0.102,0.513,118.035,https://api.spotify.com/v1/audio-analysis/1B5VzXPqMlvRw0U4HJY3dJ
Bad Blood,1989 (Deluxe Edition),3.53,False,8,0.646,0.794,7,-6.104,1,0.19,0.0885,6.16e-06,0.201,0.287,170.216,https://api.spotify.com/v1/audio-analysis/0yN4fNzmVnmgC0dsOoi9Wh
Wildest Dreams,1989 (Deluxe Edition),3.67,False,9,0.55,0.688,8,-7.416,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,https://api.spotify.com/v1/audio-analysis/106R7Z57WYzBAfrXImV30y
How You Get The Girl,1989 (Deluxe Edition),4.13,False,10,0.765,0.656,5,-6.112,1,0.0504,0.00364,0.00868,0.0918,0.545,119.997,https://api.spotify.com/v1/audio-analysis/6wfugRLamFsTRbPcCpNnP7
This Love,1989 (Deluxe Edition),4.17,False,11,0.481,0.435,4,-8.795,1,0.0321,0.678,0.0,0.0928,0.107,143.95,https://api.spotify.com/v1/audio-analysis/1kTPQnabROVkW9bUXdCGrB
I Know Places,1989 (Deluxe Edition),3.26,False,12,0.602,0.755,0,-4.991,1,0.071,0.245,0.0,0.178,0.495,159.965,https://api.spotify.com/v1/audio-analysis/2zfgVd034GlUvk7LqBHl6u
Clean,1989 (Deluxe Edition),4.52,False,13,0.815,0.377,4,-7.754,1,0.0346,0.232,0.0,0.1,0.211,103.97,https://api.spotify.com/v1/audio-analysis/4bXCcoesMt8u99xMsbLr9U
Wonderland,1989 (Deluxe Edition),4.09,False,14,0.422,0.692,3,-5.447,1,0.0549,0.0493,2.57e-05,0.177,0.197,184.014,https://api.spotify.com/v1/audio-analysis/6iWMI5oOhWrDbLbjmwTWFq
You Are In Love,1989 (Deluxe Edition),4.45,False,15,0.474,0.48,2,-8.894,1,0.0622,0.707,0.000108,0.0903,0.319,170.109,https://api.spotify.com/v1/audio-analysis/4A2LfnduSTsE8u0ecYROxE
New Romantics,1989 (Deluxe Edition),3.84,False,16,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,https://api.spotify.com/v1/audio-analysis/6rZVy6FIG7lSJQMFXHo12z
I Know Places - Voice Memo,1989 (Deluxe Edition),3.61,False,17,0.592,0.128,9,-17.932,0,0.589,0.829,0.0,0.527,0.15,78.828,https://api.spotify.com/v1/audio-analysis/4JQm7ebhsrt10wmrP6AfXL
I Wish You Would - Voice Memo,1989 (Deluxe Edition),1.79,False,18,0.781,0.357,0,-16.394,1,0.912,0.717,0.0,0.185,0.645,118.317,https://api.spotify.com/v1/audio-analysis/4TtyvyI42C0KFnbDZvNC8Y
Blank Space - Voice Memo,1989 (Deluxe Edition),2.19,False,19,0.675,0.234,5,-15.064,0,0.721,0.801,0.0,0.657,0.578,127.296,https://api.spotify.com/v1/audio-analysis/0yisH8r0f3Mkq34kjzUlCV
Mine,Speak Now (Deluxe Edition),3.85,False,1,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.189,0.658,121.07,https://api.spotify.com/v1/audio-analysis/6LZaxlycSWrJZ4Volb25qx
Sparks Fly,Speak Now (Deluxe Edition),4.35,False,2,0.605,0.787,5,-3.002,1,0.0308,0.0396,1.42e-06,0.163,0.374,114.987,https://api.spotify.com/v1/audio-analysis/1q8E1FfFuhd12c5JcJwPxQ
Back To December,Speak Now (Deluxe Edition),4.88,False,3,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,https://api.spotify.com/v1/audio-analysis/7lxADouiWFkwR7ZV2GKUcH
Speak Now,Speak Now (Deluxe Edition),4.01,False,4,0.709,0.599,7,-3.734,1,0.0304,0.095,0.0,0.0973,0.735,118.975,https://api.spotify.com/v1/audio-analysis/1nYWTzy5zu3zEPNgB1sItW
Dear John,Speak Now (Deluxe Edition),6.73,False,5,0.589,0.47,4,-5.32,1,0.028,0.166,1.45e-06,0.112,0.102,119.386,https://api.spotify.com/v1/audio-analysis/1ubvV5ECkm6nSI6g1HmbBK
Mean,Speak Now (Deluxe Edition),3.96,False,6,0.568,0.761,4,-3.987,1,0.0459,0.452,0.0,0.217,0.789,163.974,https://api.spotify.com/v1/audio-analysis/4N60XfcTE1ysLZGbYgnYXq
The Story Of Us,Speak Now (Deluxe Edition),4.43,False,7,0.543,0.818,4,-3.611,1,0.0398,0.00478,0.000368,0.0357,0.683,139.898,https://api.spotify.com/v1/audio-analysis/19tHCfzUSoy5HkpxcmbA0A
Never Grow Up,Speak Now (Deluxe Edition),4.84,False,8,0.714,0.305,2,-8.837,1,0.0305,0.819,0.0,0.174,0.554,124.91,https://api.spotify.com/v1/audio-analysis/74WBGgUnpKrJXt6TETfR6Z
Enchanted,Speak Now (Deluxe Edition),5.87,False,9,0.455,0.623,8,-3.878,1,0.0288,0.0739,0.000424,0.146,0.208,163.893,https://api.spotify.com/v1/audio-analysis/14LtANuaslKWyYbktUrHBU
Better Than Revenge,Speak Now (Deluxe Edition),3.62,False,10,0.516,0.917,11,-3.186,0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,https://api.spotify.com/v1/audio-analysis/1By2VQkUN0Frd8mKNV5NYC
Innocent,Speak Now (Deluxe Edition),5.04,False,11,0.552,0.608,1,-5.29,0,0.0259,0.186,0.0,0.125,0.17,134.05,https://api.spotify.com/v1/audio-analysis/3kfgJql90tzgoxByioAMXR
Haunted,Speak Now (Deluxe Edition),4.03,False,12,0.436,0.95,5,-2.627,1,0.057,0.0826,1.08e-06,0.149,0.352,162.088,https://api.spotify.com/v1/audio-analysis/11UaQaEp2LvdspTyyuE3ur
Last Kiss,Speak Now (Deluxe Edition),6.12,False,13,0.371,0.341,10,-9.475,1,0.0319,0.57,3.09e-05,0.101,0.196,89.038,https://api.spotify.com/v1/audio-analysis/1D27z8xNzjW0Mwwt1NCWhJ
Long Live,Speak Now (Deluxe Edition),5.29,False,14,0.418,0.68,7,-4.3,1,0.0347,0.036,7.59e-05,0.114,0.142,204.12,https://api.spotify.com/v1/audio-analysis/7DjCRhhFo9PPzca1BjMLcf
Ours,Speak Now (Deluxe Edition),3.97,False,15,0.608,0.569,0,-7.227,1,0.0284,0.537,0.0,0.097,0.238,159.845,https://api.spotify.com/v1/audio-analysis/1EQn3Uc5AyUXoiPLeyCrrg
If This Was A Movie,Speak Now (Deluxe Edition),3.91,False,16,0.511,0.719,4,-3.457,1,0.0265,0.166,4.54e-06,0.34,0.289,147.852,https://api.spotify.com/v1/audio-analysis/0vvt4IZOMkRug195S4MUq0
Superman,Speak Now (Deluxe Edition),4.6,False,17,0.582,0.765,7,-3.648,1,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,https://api.spotify.com/v1/audio-analysis/2R7C9dDqv1UPycvepBFziA
Back To December - Acoustic,Speak Now (Deluxe Edition),4.88,False,18,0.541,0.453,2,-6.459,1,0.0266,0.748,0.0,0.2,0.377,141.757,https://api.spotify.com/v1/audio-analysis/6IH2Z54gYPLqgJtxZjX80i
Haunted - Acoustic Version,Speak Now (Deluxe Edition),3.63,False,19,0.563,0.443,5,-5.078,1,0.0247,0.842,0.0,0.293,0.313,80.962,https://api.spotify.com/v1/audio-analysis/62rlxI6g2PNaWsHoiRryto
Mine - POP Mix,Speak Now (Deluxe Edition),3.84,False,20,0.695,0.723,7,-3.806,1,0.0285,0.00727,1.2e-06,0.1,0.679,121.011,https://api.spotify.com/v1/audio-analysis/0fAbfDiuQiUwV7FUcFfRGY
Tim McGraw,Taylor Swift,3.87,False,1,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,https://api.spotify.com/v1/audio-analysis/0Om9WAB5RS09L80DyOfTNa
Picture To Burn,Taylor Swift,2.88,False,2,0.658,0.877,7,-2.098,1,0.0323,0.173,0.0,0.0962,0.821,105.586,https://api.spotify.com/v1/audio-analysis/32mVHdy0bi1XKgr0ajsBlG
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,3.38,False,3,0.621,0.417,10,-6.941,1,0.0231,0.288,0.0,0.119,0.289,99.953,https://api.spotify.com/v1/audio-analysis/7zMcNqs55Mxer82bvZFkpg
A Place in this World,Taylor Swift,3.32,False,4,0.576,0.777,9,-2.881,1,0.0324,0.051,0.0,0.32,0.428,115.028,https://api.spotify.com/v1/audio-analysis/73OX8GdpOeGzKC6OvGSbsv
Cold As You,Taylor Swift,3.98,False,5,0.418,0.482,5,-5.769,1,0.0266,0.217,0.0,0.123,0.261,175.558,https://api.spotify.com/v1/audio-analysis/7an1exwMnfYRcdVQm0yDev
The Outside,Taylor Swift,3.45,False,6,0.589,0.805,5,-4.055,1,0.0293,0.00491,0.0,0.24,0.591,112.982,https://api.spotify.com/v1/audio-analysis/2QA3IixpRcKyOdG7XDzRgv
Tied Together with a Smile,Taylor Swift,4.14,False,7,0.479,0.578,2,-4.963,1,0.0294,0.525,0.0,0.0841,0.192,146.165,https://api.spotify.com/v1/audio-analysis/6K0CJLVXqbGMeJSmJ4ENKK
Stay Beautiful,Taylor Swift,3.93,False,8,0.594,0.629,8,-4.919,1,0.0246,0.0868,0.0,0.137,0.504,131.597,https://api.spotify.com/v1/audio-analysis/2ZoOmCSgj0ypVAmGd1ve4y
Should've Said No,Taylor Swift,4.04,False,9,0.476,0.777,4,-3.771,0,0.0289,0.0103,0.0,0.196,0.472,167.964,https://api.spotify.com/v1/audio-analysis/16MVSD0mGI4RMQT83Qzm69
Mary's Song (Oh My My My),Taylor Swift,3.55,False,10,0.403,0.627,2,-5.28,1,0.0292,0.0177,0.0,0.182,0.374,74.9,https://api.spotify.com/v1/audio-analysis/2QrQCMel6v2JiLxqrg4p2O
Our Song,Taylor Swift,3.35,False,11,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011,https://api.spotify.com/v1/audio-analysis/15DeqWWQB4dcEWzJg15VrN
I'm Only Me When I'm With You,Taylor Swift,3.55,False,12,0.563,0.934,8,-3.629,1,0.0646,0.00452,0.000807,0.103,0.518,143.964,https://api.spotify.com/v1/audio-analysis/0JIdBrXGSJXS72zjF9ss9u
Invisible,Taylor Swift,3.39,False,13,0.612,0.394,7,-5.723,1,0.0243,0.637,0.0,0.147,0.233,96.001,https://api.spotify.com/v1/audio-analysis/5OOd01o2YS1QFwdpVLds3r
A Perfectly Good Heart,Taylor Swift,3.67,False,14,0.483,0.751,4,-5.726,1,0.0365,0.00349,0.0,0.128,0.268,156.092,https://api.spotify.com/v1/audio-analysis/1spLfUJxtyVyiKKTegQ2r4
Teardrops on My Guitar - Pop Version,Taylor Swift,2.98,False,15,0.459,0.753,10,-3.827,1,0.0537,0.0402,0.0,0.0863,0.483,199.997,https://api.spotify.com/v1/audio-analysis/4pJi1rVt9GNegU9kywjg4z
