song,closest_song,distance
"I Know Places, Dancing With Our Hands Tied, Ours, Jump Then Fall (Taylor’s Version), ...Ready For It?, End Game","long story short, London Boy",3.0039963703426658
I Knew You Were Trouble (Taylor's Version),A Perfectly Good Heart,3.0101443483826507
"marjorie, seven",I Forgot That You Existed,3.0112049053492194
mirrorball,"King Of My Heart, Treacherous (Taylor's Version), The Man",3.0217885833393465
"Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault), Welcome To New York","Speak Now, Mine, Mine - POP Mix, The Very First Night (Taylor's Version) (From The Vault)",3.055326973668274
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),betty,3.055564551764531
"mad woman, This Love","You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault), Back To December - Acoustic, Come In With The Rain (Taylor’s Version), Back To December",3.071926262235481
You Need To Calm Down,I Did Something Bad,3.1035110169846627
Wildest Dreams,"right where you left me - bonus track, Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Don’t Blame Me",3.1083975082920285
Red (Taylor's Version),"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault), Starlight (Taylor's Version), Girl At Home (Taylor's Version)",3.13929729340861
"This Is Why We Can't Have Nice Things, The Other Side Of The Door (Taylor’s Version), Mean","The Way I Loved You (Taylor’s Version), Haunted",3.1966272170623977
"Forever & Always (Piano Version) (Taylor’s Version), illicit affairs",happiness,3.2680568056814545
"You Belong With Me (Taylor’s Version), Superman, Stay Beautiful",You’re Not Sorry (Taylor’s Version),3.3368012697679044
The Moment I Knew (Taylor's Version),"Look What You Made Me Do, State Of Grace (Taylor's Version), Forever & Always (Taylor’s Version)",3.410873665235754
it’s time to go - bonus track,Daylight,3.4308142510653066
"New Romantics, How You Get The Girl, Dear John","The Lucky One (Taylor's Version), dorothea",3.4327993347979957
Babe (Taylor's Version) (From The Vault),Should've Said No,3.468479622256416
"Tim McGraw, So It Goes..., Mary's Song (Oh My My My)",Better Man (Taylor's Version) (From The Vault),3.528811561832625
"The Archer, The Best Day (Taylor’s Version), Never Grow Up","cowboy like me, cardigan, my tears ricochet",3.5948960699182515
"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Haunted - Acoustic Version, Come Back...Be Here (Taylor's Version), Bye Bye Baby (Taylor’s Version) (From The Vault), Begin Again (Taylor's Version), no body, no crime (feat. HAIM)",willow,3.5994175845792387
"Sparks Fly, The Outside","Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault), Welcome To New York, Speak Now, Mine, Mine - POP Mix, The Very First Night (Taylor's Version) (From The Vault)",3.6452979412069713
Enchanted,"This Is Why We Can't Have Nice Things, The Other Side Of The Door (Taylor’s Version), Mean, The Way I Loved You (Taylor’s Version), Haunted",3.688858700164049
Better Than Revenge,I'm Only Me When I'm With You,3.7050438911581587
If This Was A Movie,"I Almost Do (Taylor's Version), ‘tis the damn season",3.713055951641538
Clean,"22 (Taylor's Version), Paper Rings",3.7316533848085407
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), betty","The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version), Death By A Thousand Cuts",3.7595895389198946
ME! (feat. Brendon Urie of Panic! At The Disco),Wonderland,3.8171938031308423
ivy,the lakes - bonus track,3.819203368516625
"New Romantics, How You Get The Girl, Dear John, The Lucky One (Taylor's Version), dorothea","Love Story (Taylor’s Version), I Wish You Would",3.9298811119465467
champagne problems,"You Are In Love, Superstar (Taylor’s Version), Getaway Car",3.93736121554322
A Place in this World,"Sparks Fly, The Outside, Hey Stephen (Taylor’s Version), Message In A Bottle (Taylor's Version) (From The Vault), Forever Winter (Taylor's Version) (From The Vault), Welcome To New York, Speak Now, Mine, Mine - POP Mix, The Very First Night (Taylor's Version) (From The Vault)",4.005616122396406
"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault), Breathe (feat. Colbie Caillat) (Taylor’s Version), Tied Together with a Smile","If This Was A Movie, I Almost Do (Taylor's Version), ‘tis the damn season",4.023405437732492
Our Song,"You Need To Calm Down, I Did Something Bad",4.058744881622888
